subscriber_id,blast_id,send_timestamp,open_timestamp,click_timestamp,device,click_urls
human_000000,demo_blast_003,2025-01-15 10:00:00,,,,
human_000001,demo_blast_003,2025-01-15 10:00:00,,,,
human_000002,demo_blast_003,2025-01-15 10:00:00,,,,
human_000003,demo_blast_003,2025-01-15 10:00:00,,,,
human_000004,demo_blast_003,2025-01-15 10:00:00,,,,
human_000005,demo_blast_003,2025-01-15 10:00:00,,,,
human_000006,demo_blast_003,2025-01-15 10:00:00,,,,
human_000007,demo_blast_003,2025-01-15 10:00:00,,,,
human_000008,demo_blast_003,2025-01-15 10:00:00,,,,
human_000009,demo_blast_003,2025-01-15 10:00:00,,,,
human_000010,demo_blast_003,2025-01-15 10:00:00,,,,
human_000011,demo_blast_003,2025-01-15 10:00:00,,,,
human_000012,demo_blast_003,2025-01-15 10:00:00,,,,
human_000013,demo_blast_003,2025-01-15 10:00:00,,,,
human_000014,demo_blast_003,2025-01-15 10:00:00,,,,
human_000015,demo_blast_003,2025-01-15 10:00:00,2025-01-16 03:05:04.977008,,iPhone,
human_000016,demo_blast_003,2025-01-15 10:00:00,2025-01-15 14:26:01.791828,,Apple Mail,
human_000017,demo_blast_003,2025-01-15 10:00:00,,,,
human_000018,demo_blast_003,2025-01-15 10:00:00,,,,
human_000019,demo_blast_003,2025-01-15 10:00:00,,,,
human_000020,demo_blast_003,2025-01-15 10:00:00,,,,
human_000021,demo_blast_003,2025-01-15 10:00:00,2025-01-15 14:48:45.487043,,Apple Mail,
human_000022,demo_blast_003,2025-01-15 10:00:00,,,,
human_000023,demo_blast_003,2025-01-15 10:00:00,2025-01-15 14:18:51.948480,,Gmail,
human_000024,demo_blast_003,2025-01-15 10:00:00,,,,
human_000025,demo_blast_003,2025-01-15 10:00:00,,,,
human_000026,demo_blast_003,2025-01-15 10:00:00,,,,
human_000027,demo_blast_003,2025-01-15 10:00:00,,,,
human_000028,demo_blast_003,2025-01-15 10:00:00,,,,
human_000029,demo_blast_003,2025-01-15 10:00:00,2025-01-15 21:41:20.528679,,Outlook,
human_000030,demo_blast_003,2025-01-15 10:00:00,,,,
human_000031,demo_blast_003,2025-01-15 10:00:00,,,,
human_000032,demo_blast_003,2025-01-15 10:00:00,,,,
human_000033,demo_blast_003,2025-01-15 10:00:00,,,,
human_000034,demo_blast_003,2025-01-15 10:00:00,2025-01-15 15:51:31.324497,,Gmail,
human_000035,demo_blast_003,2025-01-15 10:00:00,,,,
human_000036,demo_blast_003,2025-01-15 10:00:00,2025-01-16 00:29:06.278902,,Android,
human_000037,demo_blast_003,2025-01-15 10:00:00,,,,
human_000038,demo_blast_003,2025-01-15 10:00:00,2025-01-16 01:13:30.147003,2025-01-16 01:14:00.147003,Gmail,https://example.com/article-about-topic
human_000039,demo_blast_003,2025-01-15 10:00:00,2025-01-15 13:46:27.051276,,Apple Mail,
human_000040,demo_blast_003,2025-01-15 10:00:00,2025-01-15 11:21:15.202535,,Apple Mail,
human_000041,demo_blast_003,2025-01-15 10:00:00,,,,
human_000042,demo_blast_003,2025-01-15 10:00:00,2025-01-15 13:51:23.145024,,Gmail,
human_000043,demo_blast_003,2025-01-15 10:00:00,,,,
human_000044,demo_blast_003,2025-01-15 10:00:00,,,,
human_000045,demo_blast_003,2025-01-15 10:00:00,,,,
human_000046,demo_blast_003,2025-01-15 10:00:00,,,,
human_000047,demo_blast_003,2025-01-15 10:00:00,,,,
human_000048,demo_blast_003,2025-01-15 10:00:00,2025-01-15 13:27:31.304474,,Gmail,
human_000049,demo_blast_003,2025-01-15 10:00:00,,,,
human_000050,demo_blast_003,2025-01-15 10:00:00,2025-01-15 14:57:51.167771,,Apple Mail,
human_000051,demo_blast_003,2025-01-15 10:00:00,2025-01-15 12:44:16.759692,,Apple Mail,
human_000052,demo_blast_003,2025-01-15 10:00:00,,,,
human_000053,demo_blast_003,2025-01-15 10:00:00,,,,
human_000054,demo_blast_003,2025-01-15 10:00:00,,,,
human_000055,demo_blast_003,2025-01-15 10:00:00,2025-01-15 18:17:06.766392,,Apple Mail,
human_000056,demo_blast_003,2025-01-15 10:00:00,,,,
human_000057,demo_blast_003,2025-01-15 10:00:00,,,,
human_000058,demo_blast_003,2025-01-15 10:00:00,,,,
